z,eta_x_qs,eta_x_dyn
2.108930091004994,-1.3791457305706968e-07,-1.4679509483126816e-07
2.088255532893844,-1.366248529583303e-07,-1.4565936430638393e-07
2.0677185723151568,-1.3532030838247834e-07,-1.44494155570033e-07
2.047318317182216,-1.3400547334310053e-07,-1.4330461384527064e-07
2.0270535702700343,-1.3268440933463678e-07,-1.4209552892991108e-07
2.006923432418586,-1.3136096958724768e-07,-1.408714451731138e-07
1.986927494023068,-1.30038951746927e-07,-1.396365092123102e-07
1.967064435350588,-1.287214287659595e-07,-1.383946142304655e-07
1.9473333169706608,-1.274113720042753e-07,-1.3714940955687978e-07
1.9277334271795,-1.261116231555484e-07,-1.3590426787701684e-07
1.9082640947880227,-1.2482482115400625e-07,-1.3466227855734656e-07
1.888924086830128,-1.2355305978704366e-07,-1.334263139456129e-07
1.8697125451790604,-1.2229843438717562e-07,-1.3219904435957854e-07
1.850628991458071,-1.210630888455092e-07,-1.3098290117042445e-07
1.831672341633414,-1.19848626461575e-07,-1.297801329021316e-07
1.812841611133489,-1.186565447244295e-07,-1.2859283538279182e-07
1.7941360350237068,-1.1748833529103818e-07,-1.274228667903326e-07
1.7755551446972273,-1.163455593852754e-07,-1.2627205036910345e-07
1.7570976772081766,-1.15229139148542e-07,-1.2514196257573112e-07
1.7387628135904991,-1.141401801999971e-07,-1.2403410245202113e-07
1.7205500138311176,-1.1307988825759517e-07,-1.229498190765621e-07
1.7024584108200105,-1.1204916947430625e-07,-1.2189037074494788e-07
1.6844869809267211,-1.1104874981583737e-07,-1.208569712882327e-07
1.666634926746358,-1.1007945114276516e-07,-1.1985066375593305e-07
1.6489019219081271,-1.0914238196465299e-07,-1.188725249324359e-07
1.6312867220390064,-1.0823796542883539e-07,-1.1792344056585215e-07
1.6137885311322222,-1.0736690902110029e-07,-1.1700438118540901e-07
1.5964067541656717,-1.0653004565631521e-07,-1.1611618025964229e-07
1.579140723400928,-1.0572814698575065e-07,-1.1525963206770456e-07
1.56198938176955,-1.0496169636185887e-07,-1.1443557798839657e-07
1.5449519682563049,-1.042313943156634e-07,-1.1364480345350662e-07
1.5280280938157025,-1.0353822971829309e-07,-1.1288804924489885e-07
1.5112167264819365,-1.0288273291884913e-07,-1.121660581407672e-07
1.494517028519588,-1.0226559816132394e-07,-1.114796211068993e-07
1.4779283560480634,-1.0168769312557475e-07,-1.1082945416116254e-07
1.461450224299151,-1.011500413082441e-07,-1.1021639020658421e-07
1.4450815479553645,-1.0065324031029595e-07,-1.0964117553933957e-07
1.4288216007304744,-1.0019819364118313e-07,-1.0910465155026609e-07
1.412669937309423,-9.978605759194421e-08,-1.08607632267811e-07
1.396625721328422,-9.941771147319425e-08,-1.0815094879655425e-07
1.3806880787948612,-9.909401850720227e-08,-1.0773545832896929e-07
1.3648563226731405,-9.881598995915683e-08,-1.0736205233496243e-07
1.3491301358461172,-9.858491397617685e-08,-1.070316142281686e-07
1.3335084095319991,-9.840138918709882e-08,-1.0674500367673004e-07
1.317990450588708,-9.826624529225e-08,-1.0650307919612969e-07
1.30257576338242,-9.818030708286192e-08,-1.0630664510264821e-07
1.2872636914381017,-9.81440166789906e-08,-1.0615642316569614e-07
1.2720533295646876,-9.81572490729165e-08,-1.0605301019539238e-07
1.2569440028686545,-9.821954197392145e-08,-1.0599688337098229e-07
1.2419353975445158,-9.832996659133129e-08,-1.0598813721192435e-07
1.2270265357906562,-9.848607545634249e-08,-1.060266022158321e-07
1.2122167060839917,-9.86842654042119e-08,-1.0611160352571257e-07
1.1975053679965926,-9.891920051246586e-08,-1.0624180788850533e-07
1.1828920302561516,-9.918307357308e-08,-1.064149682072916e-07
1.1683757611454533,-9.94646255615403e-08,-1.0662773106785205e-07
1.15395591656981,-9.974858145571602e-08,-1.0687521022885117e-07
1.1396321313955589,-1.0001422826622861e-07,-1.0715053992054825e-07
1.1254036041492284,-1.0023393203724704e-07,-1.0744437212367579e-07
1.111269589718262,-1.0037175102497157e-07,-1.0774411481294506e-07
1.0972295080056031,-1.003815924793705e-07,-1.0803307728655327e-07
1.0832830192218434,-1.0020511538061e-07,-1.0828949669835729e-07
1.0694291694342493,-9.977241948850493e-08,-1.0848533803322969e-07
1.0556673439414628,-9.900110478765892e-08,-1.0858496191629956e-07
1.041997131624207,-9.779809046984605e-08,-1.0854375623552717e-07
1.0284178932713222,-9.606702324251553e-08,-1.0830688401970481e-07
1.0149288547326374,-9.371893053619705e-08,-1.0780854872019213e-07
1.001529417490218,-9.068467072433792e-08,-1.0697182160000385e-07
0.9882193309325004,-8.692925049832542e-08,-1.0571004690356193e-07
0.9749976723772558,-8.2478558071897e-08,-1.0393066831868145e-07
0.9618638386771624,-7.742094975434683e-08,-1.01541854936336e-07
0.9488173776889788,-7.190712149530161e-08,-9.84631030775426e-08
0.9358577993150016,-6.613748080863641e-08,-9.463907425360297e-08
0.9229843045735936,-6.033774958357086e-08,-9.005620386839172e-08
0.910196322260251,-5.4721134312167376e-08,-8.475785433576683e-08
0.8974935549788093,-4.9462555659868535e-08,-7.885457679392182e-08
0.8848752389586965,-4.4686836759439956e-08,-7.252341457649991e-08
0.8723407399913338,-4.046025085186544e-08,-6.599320368326202e-08
0.8598895695138993,-3.6798499071434014e-08,-5.951695241793526e-08
0.847521374255838,-3.3679884668334384e-08,-5.3336601096794496e-08
0.8352353342865971,-3.1057867390889525e-08,-4.7650998399611715e-08
0.823030904468653,-2.8873280516474392e-08,-4.2593895271902487e-08
0.8109077454170192,-2.7063826775062984e-08,-3.822780734462095e-08
0.7988652396827423,-2.5568827461989438e-08,-3.4551790478224297e-08
0.786902726090906,-2.4333023026503093e-08,-3.1517850900296903e-08
0.7750196839284997,-2.330848978654801e-08,-2.905004101260486e-08
0.7632158852770011,-2.245502469712968e-08,-2.7061162196525767e-08
0.7514904928366609,-2.1738355774472227e-08,-2.5464816941066145e-08
0.7398429863473679,-2.1130952907302042e-08,-2.4182685927503163e-08
0.728272988890645,-2.0610699704031917e-08,-2.3147842452806124e-08
0.7167800175676233,-2.0159755934965245e-08,-2.2305375252380303e-08
0.7053633880227225,-1.9763800235637412e-08,-2.1611501666566343e-08
0.6940225936928716,-1.9411634204078637e-08,-2.1031974892737364e-08
0.6827573942650239,-1.9094538429907024e-08,-2.0540404945323557e-08
0.671567065400863,-1.8805431374454023e-08,-2.011659529920433e-08
0.6604510682376761,-1.853884416826105e-08,-1.9745173579136346e-08
0.6494089924594628,-1.8290526674178016e-08,-1.9414464955357804e-08
0.6384404787159096,-1.8057153189724435e-08,-1.9115601571609672e-08
0.6275448229669266,-1.7836031404123014e-08,-1.8841842922223453e-08
0.6167215417664991,-1.7625103178271733e-08,-1.8588058407690953e-08
0.6059703564938382,-1.7422790091456615e-08,-1.8350322895106645e-08
0.5952906747214874,-1.7227790523240455e-08,-1.8125623086991e-08
0.5846819325947145,-1.703908291210775e-08,-1.7911661697340437e-08
0.5741436902364813,-1.68558780063457e-08,-1.7706642869188453e-08
0.563675701567712,-1.66775781666496e-08,-1.7509179001156662e-08
0.5532772460889801,-1.6503636021364272e-08,-1.7318196182801072e-08
0.5429478624163848,-1.6333646336699427e-08,-1.713284111177007e-08
0.5326872376214573,-1.6167301644472084e-08,-1.6952453983610942e-08
0.5224949006500429,-1.6004330345978116e-08,-1.6776507719626063e-08
0.5123702660618956,-1.584449220844568e-08,-1.660457562172499e-08
0.5023128846201045,-1.5687603294678524e-08,-1.6436316705548078e-08
0.4923225639842339,-1.5533542641734387e-08,-1.6271452581548763e-08
0.4823986201034807,-1.5382144919142207e-08,-1.6109758820686053e-08
0.4725405960038082,-1.5233293773847936e-08,-1.5951049910233292e-08
0.46274814816368,-1.5086901605487387e-08,-1.579516288103403e-08
0.4530209170520416,-1.4942889392195473e-08,-1.5641967531479622e-08
0.443358298790624,-1.480115533657422e-08,-1.5491342729038064e-08
0.433759864643487,-1.4661627651871753e-08,-1.5343191351987412e-08
0.4242253873480872,-1.4524265712513918e-08,-1.5197419535939734e-08
0.4147543017415173,-1.4388990435373836e-08,-1.5053952280806912e-08
0.4053461277305105,-1.4255737600414654e-08,-1.4912712409492255e-08
0.3960004946473369,-1.4124459896517363e-08,-1.4773634019871345e-08
0.3867171452803867,-1.3995126554743358e-08,-1.4636659870532364e-08
0.3774954602183972,-1.3867664058466051e-08,-1.4501723825441377e-08
0.3683350302908378,-1.3742027046678618e-08,-1.4368783622311614e-08
0.3592355969038405,-1.3618190152536437e-08,-1.4237781142525816e-08
0.3501967043502806,-1.3496105203942236e-08,-1.410866898291526e-08
0.3412178524823276,-1.3375720038151904e-08,-1.3981401723297421e-08
0.3322986466819225,-1.3256996530768774e-08,-1.3855945018193026e-08
0.3234389234612803,-1.3139925268464378e-08,-1.3732230997138596e-08
0.3146380505542889,-1.3024441377787644e-08,-1.3610245698007398e-08
0.305895637462958,-1.2910510031806722e-08,-1.3489936868541124e-08
0.2972113975977458,-1.279810949052761e-08,-1.3371289474835433e-08
0.2885849758887425,-1.268721049527755e-08,-1.3254241799830857e-08
0.2800158549665257,-1.2577765341334781e-08,-1.3138765795933009e-08
