z,H_over_Hrecon_minus_one,drain_source,d_transfer
0.1403848164084,-2.220446049250313e-16,7.963725560822832e-05,0.06902986829894
0.1413042514105,0.0,8.004975245799652e-05,0.069029689708
0.1422244277069,2.220446049250313e-16,8.046433481115158e-05,0.0690295106256
0.1431453458952,2.220446049250313e-16,8.088101358416595e-05,0.06902933105052
0.1440670065737,0.0,8.12997997565359e-05,0.0690291509815
0.1449894103408,2.220446049250313e-16,8.172070437511956e-05,0.0690289704173
0.1459125577957,0.0,8.214373855647852e-05,0.06902878935666
0.1468364495381,0.0,8.256891348031918e-05,0.06902860779833
0.147761086168,0.0,8.299624040192779e-05,0.06902842574106
0.148686468286,-2.220446049250313e-16,8.34257306326546e-05,0.06902824318356
0.1496125964931,2.220446049250313e-16,8.385739556292612e-05,0.06902806012459
0.1505394713908,-1.1102230246251565e-16,8.429124664779217e-05,0.06902787656285
0.1514670935813,-1.1102230246251565e-16,8.472729541782683e-05,0.06902769249708
0.1523954636669,0.0,8.516555347069874e-05,0.06902750792599
0.1533245822507,2.220446049250313e-16,8.56060324753525e-05,0.0690273228483
0.1542544499361,2.220446049250313e-16,8.604874417031833e-05,0.06902713726271
0.1551850673271,0.0,8.64937003705265e-05,0.06902695116792
0.1561164350283,2.220446049250313e-16,8.694091296313087e-05,0.06902676456264
0.1570485536444,0.0,8.739039391253521e-05,0.06902657744557
0.1579814237809,0.0,8.784215525019306e-05,0.06902638981538
0.1589150460438,0.0,8.829620908549399e-05,0.06902620167077
0.1598494210394,0.0,8.875256760284836e-05,0.06902601301041
0.1607845493746,0.0,8.92112430663033e-05,0.06902582383299
0.1617204316569,0.0,8.967224781496914e-05,0.06902563413717
0.162657068494,0.0,9.013559426863592e-05,0.06902544392162
0.1635944604944,2.220446049250313e-16,9.060129491492566e-05,0.069025253185
0.1645326082669,0.0,9.106936232839516e-05,0.06902506192597
0.1654715124208,0.0,9.153980916478546e-05,0.06902487014317
0.1664111735659,2.220446049250313e-16,9.201264815618408e-05,0.06902467783526
0.1673515923127,0.0,9.248789212479895e-05,0.06902448500087
0.1682927692718,0.0,9.296555395853574e-05,0.06902429163864
0.1692347050547,0.0,9.344564663640929e-05,0.06902409774721
0.170177400273,0.0,9.392818322472403e-05,0.06902390332519
0.1711208555392,0.0,9.441317686739515e-05,0.06902370837122
0.172065071466,0.0,9.490064080566576e-05,0.0690235128839
0.1730100486667,0.0,9.539058834784374e-05,0.06902331686184
0.173955787755,2.220446049250313e-16,9.588303289690784e-05,0.06902312030365
0.1749022893452,0.0,9.637798794717676e-05,0.06902292320793
0.1758495540522,0.0,9.687546707991093e-05,0.06902272557328
0.176797582491,0.0,9.737548396874879e-05,0.06902252739827
0.1777463752777,0.0,9.787805236611324e-05,0.06902232868151
0.1786959330282,0.0,9.838318612081335e-05,0.06902212942155
0.1796462563595,0.0,9.889089917671348e-05,0.06902192961698
0.1805973458888,0.0,9.940120556903503e-05,0.06902172926636
0.1815492022338,-2.220446049250313e-16,9.99141194320127e-05,0.06902152836825
0.1825018260128,0.0,0.00010042965498484915,0.0690213269212
0.1834552178444,0.0,0.00010094782654043104,0.06902112492377
0.1844093783481,0.0,0.00010146864851899505,0.06902092237451
0.1853643081434,0.0,0.00010199213543215525,0.06902071927193
0.1863200078506,0.0,0.00010251830189895611,0.06902051561459
0.1872764780905,0.0,0.00010304716263201941,0.069020311401
0.1882337194844,0.0,0.0001035787324340124,0.06902010662969
0.1891917326539,0.0,0.00010411302622287524,0.06901990129916
0.1901505182212,0.0,0.00010465005902000534,0.06901969540794
0.1911100768093,0.0,0.00010518984594942176,0.06901948895451
0.1920704090412,0.0,0.00010573240224844696,0.06901928193737
